stock_name,2013,2014,2015,2016,2017,2018,2019,2020
SNK,,,,,,,0.0,0.0
SNT모티브,600.0,800.0,1000.0,1000.0,1000.0,1200.0,1400.0,1600.0
SNT에너지,300.0,500.0,500.0,0.0,0.0,0.0,800.0,800.0
SNT중공업,150.0,100.0,200.0,0.0,0.0,200.0,300.0,300.0
SNT홀딩스,400.0,200.0,250.0,350.0,200.0,400.0,500.0,650.0
SPC삼립,663.0,762.0,869.0,956.0,956.0,1004.0,1104.0,1104.0
STX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STX엔진,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STX중공업,,,,,,,,
SUN&L,100.0,150.0,167.0,205.0,0.0,70.0,0.0,0.0
SV인베스트먼트,,,,,,,120.0,30.0
TBH글로벌,,,,,,,,
TCC스틸,50.0,50.0,0.0,0.0,0.0,80.0,30.0,15.0
THE E&M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THE MIDONG,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
THQ,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0
TJ미디어,80.0,0.0,100.0,60.0,80.0,0.0,50.0,0.0
TPC,0.0,0.0,0.0,25.0,25.0,25.0,15.0,35.0
TS인베스트먼트,,,,0.0,15.0,20.0,25.0,25.0
TS트릴리온,,,,,,,20.0,10.0
TYM,150.0,100.0,150.0,10.0,15.0,10.0,0.0,0.0
UCI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WISCOM,300.0,250.0,150.0,100.0,0.0,0.0,50.0,50.0
YBM넷,210.0,210.0,210.0,150.0,100.0,100.0,0.0,0.0
YG PLUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YTN,10.0,10.0,0.0,15.0,20.0,20.0,10.0,30.0
YW,100.0,100.0,0.0,100.0,100.0,100.0,50.0,100.0
iMBC,45.0,30.0,30.0,45.0,0.0,0.0,0.0,0.0
가비아,20.0,20.0,30.0,30.0,30.0,30.0,40.0,60.0
가온미디어,70.0,100.0,100.0,100.0,120.0,100.0,100.0,50.0
가온전선,1000.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
감성코퍼레이션,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강남제비스코,450.0,500.0,500.0,500.0,550.0,550.0,500.0,500.0
강스템바이오텍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원,30.0,0.0,0.0,0.0,0.0,0.0,,
강원랜드,730.0,850.0,980.0,990.0,990.0,900.0,,
갤럭시아머니트리,0.0,0.0,0.0,25.0,30.0,35.0,55.0,55.0
갤럭시아에스엠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
게임빌,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경남스틸,250.0,300.0,300.0,150.0,350.0,70.0,90.0,0.0
경남제약,,,,,,,,
경남제약헬스케어,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
경농,200.0,220.0,240.0,265.0,295.0,250.0,220.0,250.0
경동나비엔,100.0,100.0,100.0,150.0,200.0,250.0,300.0,350.0
경동도시가스,,,,0.0,750.0,875.0,875.0,875.0
경동인베스트,1250.0,1250.0,1250.0,1250.0,500.0,500.0,500.0,500.0
경동제약,600.0,600.0,600.0,350.0,400.0,300.0,400.0,500.0
경방,250.0,500.0,1250.0,180.0,180.0,125.0,125.0,125.0
경보제약,3000.0,3000.0,275.0,200.0,250.0,200.0,100.0,100.0
경인양행,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
경인전자,,,,,,,,
경창산업,100.0,80.0,50.0,0.0,0.0,0.0,0.0,0.0
계룡건설,,,,,,,,
계양전기,50.0,45.0,55.0,65.0,55.0,60.0,35.0,35.0
고려산업,25.0,45.0,30.0,30.0,35.0,30.0,30.0,35.0
고려시멘트,,,,,,,,
고려신용정보,50.0,75.0,150.0,175.0,200.0,220.0,250.0,275.0
고려아연,5000.0,6500.0,8500.0,8500.0,10000.0,11000.0,11000.0,14000.0
고려제강,350.0,350.0,350.0,350.0,350.0,350.0,350.0,300.0
고려제약,60.0,70.0,70.0,100.0,90.0,100.0,100.0,150.0
고바이오랩,,,,,,,0.0,0.0
고영,,,,,,,,
골드앤에스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
골드퍼시픽,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
골든센츄리,,,,82.0,52.0,0.0,3.0,0.0
골프존,0.0,0.0,4000.0,1600.0,2400.0,1850.0,2050.0,2500.0
골프존뉴딘홀딩스,400.0,500.0,580.0,117.0,117.0,117.0,117.0,117.0
광동제약,70.0,80.0,80.0,80.0,80.0,80.0,80.0,100.0
광림,,,,,,,,
광명전기,,,,,,,,
광전자,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0
광주신세계,1250.0,1250.0,1250.0,1250.0,1250.0,3000.0,3500.0,3500.0
광진실업,25.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0
광진윈텍,30.0,30.0,30.0,30.0,30.0,50.0,100.0,120.0
교보10호스팩,,,,,,,,
교보9호스팩,,,,,,,0.0,0.0
교보증권,0.0,100.0,150.0,170.0,300.0,350.0,400.0,450.0
교촌에프앤비,,,,,,,96.0,200.0
구영테크,0.0,0.0,100.0,0.0,50.0,30.0,30.0,30.0
국도화학,1000.0,1000.0,1500.0,1200.0,1500.0,1500.0,1500.0,1200.0
국동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
국보,,,,,,,,
국보디자인,230.0,250.0,250.0,250.0,280.0,280.0,300.0,320.0
국순당,45.0,50.0,50.0,50.0,170.0,260.0,100.0,160.0
국영지앤엠,0.0,15.0,0.0,0.0,0.0,15.0,0.0,15.0
국일신동,0.0,25.0,50.0,50.0,75.0,50.0,50.0,30.0
국일제지,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
국전약품,,,,,,,,
국제약품,10.0,10.0,0.0,10.0,10.0,30.0,0.0,0.0
그리티,,,,112.0,232.0,180.0,30.0,30.0
그린케미칼,,,,,,,,
그린플러스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
극동유화,800.0,700.0,1000.0,115.0,160.0,160.0,160.0,140.0
글로벌에스엠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
글로벌텍스프리,,,,,,,,
글로본,,,,0.0,0.0,0.0,0.0,0.0
금강공업,350.0,400.0,400.0,500.0,500.0,500.0,80.0,40.0
금강철강,,,,,,,,
금비,1200.0,1000.0,1500.0,1800.0,1500.0,1700.0,1700.0,1300.0
금양,45.0,60.0,60.0,0.0,0.0,80.0,0.0,0.0
금호건설,,,,,,,,
금호석유,,,,,,,,
금호에이치티,71.0,118.0,125.0,100.0,75.0,0.0,0.0,0.0
금호전기,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
금호타이어,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
금화피에스시,900.0,900.0,900.0,900.0,900.0,1300.0,1300.0,1300.0
기가레인,,,,,,,,
기산텔레콤,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
기신정기,,,,150.0,150.0,150.0,150.0,150.0
기아,700.0,1000.0,1100.0,1100.0,800.0,900.0,1150.0,1000.0
기업은행,330.0,430.0,450.0,480.0,617.0,690.0,670.0,471.0
까뮤이앤씨,0.0,150.0,150.0,150.0,200.0,20.0,30.0,20.0
까스텔바작,,,,,,,0.0,0.0
깨끗한나라,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
나노,,,,,,,,
나노브릭,,,,,,,0.0,0.0
나노스,100.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
나노신소재,0.0,150.0,150.0,100.0,130.0,140.0,120.0,100.0
나노씨엠에스,,,,,,,0.0,0.0
나노엔텍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
나노캠텍,50.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
나라엠앤디,120.0,120.0,110.0,100.0,80.0,70.0,60.0,50.0
나무가,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
나무기술,0.0,0.0,2400.0,,,,,
나스미디어,170.0,290.0,360.0,390.0,690.0,530.0,660.0,800.0
나우IB,,,,250.0,0.0,150.0,150.0,150.0
나이벡,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
나이스디앤비,59.0,71.0,84.0,84.0,96.0,150.0,175.0,200.0
나이스정보통신,230.0,240.0,300.0,350.0,350.0,420.0,460.0,460.0
나인테크,,,,,,,,
남광토건,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
